,Newspaper,Radio,Sales,TV
288,211,177,177,2510
289,1112,205,214,2796
290,316,420,180,2175
291,928,347,48,1624
292,675,20,73,2215
293,341,364,59,2877
294,1139,440,35,769
295,1048,94,232,111
296,867,198,260,784
297,296,455,64,1157
298,156,488,88,2735
299,321,304,191,1126
300,786,257,110,608
301,433,257,85,251
302,368,117,97,669
303,159,288,202,2627
304,93,295,184,2107
305,289,428,180,1311
306,272,439,223,2168
307,131,246,170,2134
308,231,77,110,1160
309,338,430,217,2135
310,514,478,167,1098
311,109,140,115,1074
312,459,417,172,1352
313,53,343,207,2382
314,55,269,198,2554
315,345,468,146,782
316,223,160,66,194
317,742,323,197,2295
318,431,120,97,596
319,656,386,108,369
320,17,439,207,1849
321,389,148,114,962
322,206,258,101,447
323,95,211,156,1878
324,346,184,129,1317
325,54,147,119,1172
326,64,106,150,2843
327,131,34,115,2224
328,176,100,126,1656
329,300,213,176,2538
330,234,121,67,187
331,60,356,173,1497
332,87,86,134,2321
333,518,149,146,1089
334,343,164,206,1922
335,834,286,217,2524
336,1008,446,107,234
337,109,165,241,1498
338,352,220,260,2568
339,16,270,243,2426
340,1039,27,212,2793
341,511,72,97,524
342,20,167,27,2638
343,655,445,174,891
344,119,36,259,1964
345,478,319,259,1386
346,118,376,265,1683
347,449,445,241,2493
348,723,389,77,2808
349,248,323,176,1733
350,675,200,124,1907
351,872,111,44,86
352,184,405,48,2164
353,668,311,85,1692
354,467,236,180,973
355,858,445,220,1008
356,808,77,180,63
357,539,183,162,1222
358,235,98,208,936
359,871,21,232,398
360,179,19,245,1119
361,297,78,56,681
362,753,260,176,923
363,1128,161,193,1379
364,467,202,39,2886
365,11,447,221,2812
