TDate,TV,Radio,Newspaper,Sales
10/1/16,11726,11273,15947,7600
10/2/16,10371,11340,15756,7246
10/3/16,11960,12194,15613,6293
10/4/16,10732,12434,15453,7874
10/5/16,11923,11843,15075,6844
10/6/16,11962,11452,15328,6331
10/7/16,11533,11200,15574,6642
10/8/16,11618,11700,15251,6268
10/9/16,10487,12825,15382,7395
10/10/16,11148,11125,15647,7323
10/11/16,11140,11815,15121,7936
10/12/16,11589,12942,15587,6659
10/13/16,10008,12777,15299,6695
10/14/16,11675,11502,15795,6224
10/15/16,10750,11085,15689,7114
10/16/16,10834,11157,15614,6124
10/17/16,10560,11914,15038,7109
10/18/16,11852,12774,15991,7849
10/19/16,11938,12257,15573,7386
10/20/16,10837,12251,15628,7863
10/21/16,10850,11729,15743,6842
10/22/16,11703,11389,15745,6793
10/23/16,11201,12705,15103,7367
10/24/16,11070,11699,15450,6844
10/25/16,10661,12350,15560,7046
10/26/16,10950,11702,15335,6372
10/27/16,10230,12216,15823,7630
10/28/16,11878,11318,15061,6739
10/29/16,10660,12994,15830,7538
10/30/16,10556,11348,15608,7565
10/31/16,10828,12523,15387,7353
11/1/16,11778,11480,15532,7443
11/2/16,11097,12944,15636,6533
11/3/16,10195,11568,15635,6380
11/4/16,10338,11282,15066,7263
11/5/16,10439,12039,15228,7531
11/6/16,10893,12379,15066,6517
11/7/16,11551,11682,15664,6509
11/8/16,11751,12635,15139,6369
11/9/16,10510,11739,15554,6520
11/10/16,11472,11366,15304,6340
11/11/16,11202,12340,15783,7372
11/12/16,10230,12314,15959,6051
11/13/16,11821,11437,15165,7393
11/14/16,10136,12324,15236,6763
11/15/16,10868,12927,15764,6168
11/16/16,10617,11624,15443,7833
11/17/16,11571,11057,15252,7724
11/18/16,10716,11614,15133,6841
11/19/16,10413,12839,15097,7365
11/20/16,10779,11771,15660,6367
11/21/16,10804,11135,15543,7761
11/22/16,10289,12729,15306,6510
11/23/16,10202,12422,15555,6725
11/24/16,10015,11145,15873,7624
11/25/16,11903,12340,15437,6100
11/26/16,10858,11221,15840,6747
11/27/16,11640,11657,15833,7685
11/28/16,10850,12490,15342,7608
11/29/16,11739,11245,15018,7694
11/30/16,11351,11799,15467,7304
12/1/16,11547,12468,15933,7632
12/2/16,11816,12992,15322,7177
12/3/16,10448,12087,15138,7871
12/4/16,11532,11246,15551,7660
12/5/16,10544,12288,15771,7536
12/6/16,11098,12299,15391,6117
12/7/16,10533,11033,15467,7544
12/8/16,11752,12028,15879,7943
12/9/16,10677,11518,15064,6087
12/10/16,11678,12497,15159,7622
12/11/16,10537,12968,15157,6075
12/12/16,10617,12409,15822,6448
12/13/16,11628,11379,15902,6366
12/14/16,11781,12967,15349,6662
12/15/16,11765,11355,15106,7441
12/16/16,10120,12379,15522,6760
12/17/16,11181,12622,15303,7393
12/18/16,10559,11786,15830,6963
12/19/16,10185,11327,15450,7960
12/20/16,11098,12452,15340,7006
12/21/16,10187,12441,15796,7149
12/22/16,10118,12031,15755,7733
12/23/16,11023,11726,15905,6296
12/24/16,10147,11800,15164,7907
12/25/16,10991,12208,15551,6374
12/26/16,10704,12323,15507,6788
12/27/16,10697,11401,15062,6986
12/28/16,11250,12755,15306,7350
12/29/16,11179,12667,15942,6491
12/30/16,11466,11761,15044,7690
12/31/16,11215,12722,15144,7569
1/1/17,11264,11501,15789,6888
1/2/17,10746,11113,15547,6677
1/3/17,10994,12388,15047,6988
1/4/17,10065,11543,15791,7606
1/5/17,10408,11237,15853,6389
1/6/17,11251,12940,15571,6552
1/7/17,11551,11105,15138,7972
1/8/17,11855,11218,15074,7016
1/9/17,10550,12591,15267,7531
1/10/17,10341,12978,15918,6027
1/11/17,11610,12354,15647,7185
1/12/17,11236,11475,15245,6297
1/13/17,10459,11717,15428,7278
1/14/17,10631,12605,15812,7498
1/15/17,11851,11523,15719,7331
1/16/17,11666,11669,15206,7645
1/17/17,10436,12137,15769,7601
1/18/17,11836,11257,15778,6292
1/19/17,10823,12652,15000,7700
1/20/17,11938,12044,15929,7003
1/21/17,10994,11848,15814,7435
1/22/17,11399,11900,15033,7254
1/23/17,10508,12579,15753,7602
1/24/17,10349,11943,15716,6113
1/25/17,10826,11905,15530,7766
1/26/17,11447,11249,15781,6304
1/27/17,10415,12959,15418,7876
1/28/17,10672,12842,15226,7716
1/29/17,11826,12936,15629,7078
1/30/17,11097,12689,15291,7807
1/31/17,10843,12848,15134,7748
2/1/17,11592,11859,15314,7051
2/2/17,11465,12491,15436,6586
2/3/17,11268,12293,15805,6736
2/4/17,10665,11615,15384,7628
2/5/17,11903,11295,15299,7940
2/6/17,10376,12798,15569,6588
2/7/17,11799,12756,15153,7151
2/8/17,11069,12907,15320,7447
2/9/17,10059,12802,15166,6788
2/10/17,10384,11269,15304,6953
2/11/17,11179,11638,15667,7024
2/12/17,10638,11476,15762,6243
2/13/17,10595,11685,15286,6526
2/14/17,11482,11051,15271,7295
2/15/17,10566,12309,15618,7839
2/16/17,10295,11171,15105,6606
2/17/17,10750,11945,15282,7482
2/18/17,10349,12676,15433,7817
2/19/17,10323,11140,15206,7830
2/20/17,11586,12161,15683,6148
2/21/17,10621,11826,15428,6745
2/22/17,11775,11330,15695,7764
2/23/17,11763,12200,15541,7936
2/24/17,10438,11932,15123,7740
2/25/17,10078,12687,15997,7369
2/26/17,10258,11186,15399,7768
2/27/17,10078,11546,15966,6469
2/28/17,10645,12758,15730,7236
3/1/17,11640,11249,15078,6470
3/2/17,10688,11303,15021,6051
3/3/17,11983,12188,15752,7966
3/4/17,10521,12819,15828,7595
3/5/17,10875,11869,15004,7877
3/6/17,11938,12985,15728,6320
3/7/17,10199,11876,15128,6901
3/8/17,10790,11172,15313,7007
3/9/17,10591,12587,15998,6358
3/10/17,11134,11935,15650,6644
3/11/17,11786,12328,15749,7990
3/12/17,10469,11807,15577,6837
3/13/17,10806,12154,15143,6156
3/14/17,11424,11158,15141,7262
3/15/17,10797,12228,15905,7555
3/16/17,11359,12841,15614,6044
3/17/17,10509,12400,15037,6177
3/18/17,10949,11600,15915,6259
3/19/17,11755,12330,15576,6870
3/20/17,11156,12788,15791,6255
3/21/17,11245,12126,15122,6123
3/22/17,10114,11271,15673,6842
3/23/17,11676,11449,15501,6199
3/24/17,10038,12960,15838,6057
3/25/17,11845,11584,15023,6608
3/26/17,11841,11834,15916,7108
3/27/17,11321,11018,15872,7135
3/28/17,11244,11936,15308,6670
3/29/17,10728,11255,15506,6083
3/30/17,11176,12823,15009,6775
3/31/17,11681,12040,15350,6950
